"idereg","tiptran","fechfa","codart","nomart","codori","numnot","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",CL,2009-01-20 00:00:00.000,"210113709310-7",Cerebro luces 3 tiempos (fa),1,27.0,12,15.88,40.49,0.0,0.0,12.0
"1",CL,2009-02-09 00:00:00.000,BH-001,"Bomba gaso.elec.corsa todos,accent,verna1.5 univer",1,36.0,600,8.25,23.1,0.0,0.0,334.0
"1",CL,2009-02-09 00:00:00.000,BH-002,"Bomba gaso.elec.forzaII,steem,swift,mazda2.2 carbu",1,36.0,300,6.4,17.92,0.0,0.0,241.0
"1",CL,2009-02-09 00:00:00.000,BH-003,Bomba gaso.elec.henko ch.cheyen silverado,1,36.0,100,9.9,27.72,0.0,0.0,24.0
"1",CL,2009-02-09 00:00:00.000,BH-004,"Bomba gasol.elec.vitara 5p, mazda 2.6 inyecci�n",1,36.0,50,8.25,23.1,0.0,0.0,52.0
"1",CL,2009-02-09 00:00:00.000,CDI-001,Caja direcci�n izumi swift forza II,1,32.0,150,16.7,65.0,0.0,0.0,201.0
"1",CL,2009-02-09 00:00:00.000,CDI-002,Caja direcci�n izumi forza I,1,32.0,150,16.7,65.0,0.0,0.0,190.0
"1",CL,2009-02-09 00:00:00.000,CDI-003,Caja direcci�n izumi fiat uno,1,32.0,300,16.7,60.0,0.0,0.0,296.0
"1",CL,2009-02-09 00:00:00.000,CDI-004,Caja direcci�n izumi san remo,1,32.0,150,18.9,80.0,0.0,0.0,178.0
"1",CL,2009-02-09 00:00:00.000,CDI-005,Caja direcci�n izumi accent excel,1,32.0,60,18.91,80.0,0.0,0.0,59.0
"1",CL,2009-02-09 00:00:00.000,CDI-006,Caja direcci�n izumi  verna,1,32.0,20,19.2,90.0,0.0,0.0,56.0
"1",CL,2009-02-09 00:00:00.000,CDI-007,Caja direcci�n izumi  atoz,1,32.0,30,18.9,80.0,0.0,0.0,28.0
"1",CL,2009-02-09 00:00:00.000,CDI-008,Caja direcci�n izumi  racer cielo,1,32.0,30,30.7,100.0,0.0,0.0,30.0
"1",CL,2009-02-09 00:00:00.000,CDI-009,Caja direcci�n izumi matiz spark,1,32.0,60,19.4,80.0,0.0,0.0,115.0
"1",CL,2009-02-09 00:00:00.000,CDI-011,Caja direcci�n izumi favorit forman felicia,1,32.0,30,18.3,70.0,0.0,0.0,30.0
"1",CL,2009-02-09 00:00:00.000,CDI-012,Caja direcci�n izumi H-100,1,32.0,20,19.39,80.0,0.0,0.0,9.0
"1",CL,2009-02-09 00:00:00.000,GSP-015,Eje completo kia rio izq.,1,33.0,6,23.6,63.72,0.0,0.0,7.0
"1",CL,2009-02-09 00:00:00.000,GSP-016,Eje completo kia rio der.,1,33.0,6,24.67,66.61,0.0,0.0,7.0
"1",CL,2009-02-09 00:00:00.000,GSP-017,Eje completo racer cielo izq.,1,33.0,6,24.67,66.61,0.0,0.0,8.0
"1",CL,2009-02-09 00:00:00.000,GSP-018,Eje completo racer cielo der.,1,33.0,6,24.67,66.61,0.0,0.0,6.0
"1",CL,2009-02-09 00:00:00.000,GSP-019,Eje completo steem 1.6 der. 25x888x923x22,1,33.0,6,24.67,66.61,0.0,0.0,9.0
"1",CL,2009-02-09 00:00:00.000,GSP-020,Eje completo steem 1.6 izq./25x605.5x640.5x22,1,33.0,6,24.67,66.61,0.0,0.0,10.0
"1",CL,2009-02-09 00:00:00.000,GSP-021,Eje completo suzuki forza 1.3 izq.,1,33.0,6,23.6,63.72,0.0,0.0,6.0
"1",CL,2009-02-09 00:00:00.000,GSP-022,Eje completo suzuki forza 1.3 der,1,33.0,6,23.6,63.72,0.0,0.0,7.0
"1",CL,2009-02-09 00:00:00.000,HY-299,Filtro aceite hyundai todos mobis,1,37.0,40,1.95,5.0,0.0,0.0,40.0
"1",CL,2009-02-09 00:00:00.000,JHI-120,Junta Hom interna corsa evoluti�n/22x22x34.95,1,33.0,350,12.13,32.84,0.0,0.0,453.0
"1",CL,2009-02-09 00:00:00.000,MZ-001,Manzana rueda post. verna con rulim�n,1,36.0,200,9.98,28.94,0.0,0.0,207.0
"1",CL,2009-02-09 00:00:00.000,PFI-001,Pastilla freno izumi mitsu.lancer92/97 nac.corta,1,35.0,50,2.63,7.1,0.0,0.0,71.0
"1",CL,2009-02-09 00:00:00.000,PFI-002,Pastilla freno izumi mazda 323 nx/323 86,1,35.0,50,3.2,8.63,0.0,0.0,106.0
"1",CL,2009-02-09 00:00:00.000,PFI-003,"Pastilla freno izumi mazda 323,kia rio, scort, ",1,35.0,150,2.96,7.98,0.0,0.0,230.0
"1",CL,2009-02-09 00:00:00.000,PFI-004,Pastilla freno izumi mazda b2.0/2.2/2.6 88/01 carb,1,35.0,50,3.34,9.02,0.0,0.0,100.0
"1",CL,2009-02-09 00:00:00.000,PFI-005,Pastilla freno izumi nissan pathfinder 98,1,35.0,50,4.16,11.22,0.0,0.0,51.0
"1",CL,2009-02-09 00:00:00.000,PFI-006,"Pastilla freno izumi mitsu.L200,L300,2.6 mont 88/9",1,35.0,100,3.57,9.64,0.0,0.0,93.0
"1",CL,2009-02-09 00:00:00.000,PFI-007,"Pastilla freno izumi VW. gol, fox, fiat premio 1.6",1,35.0,100,3.46,9.33,0.0,0.0,186.0
"1",CL,2009-02-09 00:00:00.000,PFI-008,"Pastilla freno izumi daewoo racer, cielo",1,35.0,300,3.2,8.63,0.0,0.0,167.0
"1",CL,2009-02-09 00:00:00.000,PFI-009,Pastilla freno izumi hyundai atos,1,35.0,40,2.44,6.58,0.0,0.0,51.0
"1",CL,2009-02-09 00:00:00.000,PFI-010,Pastilla freno izumi toyota 4runner 90/00,1,35.0,50,3.91,10.55,0.0,0.0,100.0
"1",CL,2009-02-09 00:00:00.000,PFI-011,Pastilla freno izumi vitara 3P /92,1,35.0,50,2.7,7.28,0.0,0.0,200.0
"1",CL,2009-02-09 00:00:00.000,PFI-012,Pastilla freno izumi ch.trooper (rear),1,35.0,20,2.61,7.05,0.0,0.0,46.0
"1",CL,2009-02-09 00:00:00.000,PFI-013,Pastilla freno izumi elantra 96,1,35.0,30,3.81,10.29,0.0,0.0,60.0
"1",CL,2009-02-09 00:00:00.000,PFI-014,Pastilla freno izumi swift 1.3,1,35.0,100,2.68,7.23,0.0,0.0,201.0
"1",CL,2009-02-09 00:00:00.000,PFI-015,"Pastilla freno izumi luv, trooper 2.3,rodeo91/95",1,35.0,300,3.56,9.62,0.0,0.0,687.0
"1",CL,2009-02-09 00:00:00.000,PFI-016,Pastilla freno izumi san remo,1,35.0,200,2.35,6.35,0.0,0.0,400.0
"1",CL,2009-02-09 00:00:00.000,PFI-017,"Pastilla freno izumi accet todos,excel,getz,verna",1,35.0,1000,3.33,8.99,0.0,0.0,1012.0
"1",CL,2009-02-09 00:00:00.000,PFI-018,Pastilla freno izumi nissan sentra B13 91/94,1,35.0,280,3.33,8.99,0.0,0.0,580.0
"1",CL,2009-02-09 00:00:00.000,PFI-019,Pastilla freno izumi mitsu. montero,1,35.0,100,4.38,11.82,0.0,0.0,54.0
"1",CL,2009-02-09 00:00:00.000,PFI-020,Pastilla freno izumi mazda B2.0/2.2/2.6 86/93,1,35.0,300,3.39,9.15,0.0,0.0,153.0
"1",CL,2009-02-09 00:00:00.000,PFI-021,"Pastilla freno izumi rodeo, luv, trooper V6 3.2",1,35.0,150,4.04,10.91,0.0,0.0,351.0
"1",CL,2009-02-09 00:00:00.000,PFI-022,Pastilla freno izumi mazda B2.6 inyeccion,1,35.0,100,4.29,11.59,0.0,0.0,234.0
"1",CL,2009-02-09 00:00:00.000,pfi-023,Pastilla freno kia carnival 94/00,1,35.0,20,4.2,11.35,0.0,0.0,13.0
"1",CL,2009-02-09 00:00:00.000,PFI-024,Pastilla freno izumi steem 1.6,1,35.0,40,2.89,7.8,0.0,0.0,188.0
"1",CL,2009-02-09 00:00:00.000,PFI-025,Pastilla freno izumi gran vitara99/01 5P,1,35.0,100,3.31,8.94,0.0,0.0,224.0
"1",CL,2009-02-09 00:00:00.000,PFI-026,"Pastilla freno izumi corsa 1.3/1.4 larga,peug306 ",1,35.0,200,3.47,9.36,0.0,0.0,413.0
"1",CL,2009-02-09 00:00:00.000,PFI-027,"Pastilla freno izumi chevitaxi,aveo,nubira,tacum98",1,35.0,300,3.93,10.6,0.0,0.0,602.0
"1",CL,2009-02-09 00:00:00.000,PFI-028,Pastilla freno izumi mazda alegro/00,1,35.0,50,3.61,9.75,0.0,0.0,150.0
"1",CL,2009-02-09 00:00:00.000,PFI-029,"Pastilla freno izumi vitara 3/5P, gran vitara 3P",1,35.0,50,3.02,8.16,0.0,0.0,135.0
"1",CL,2009-02-09 00:00:00.000,PFI-030,Pastilla freno izumi kia spectra,1,35.0,100,4.08,11.02,0.0,0.0,26.0
"1",CL,2009-02-09 00:00:00.000,PFI-031,Pastilla freno izumi santa fe,1,35.0,50,4.44,12.0,0.0,0.0,92.0
"1",CL,2009-02-09 00:00:00.000,PFI-032,Pastilla freno izumi matiz,1,35.0,50,3.75,10.13,0.0,0.0,48.0
"1",CL,2009-02-09 00:00:00.000,PFI-033,Pastilla freno izumi corsa evolution1.8.corsa todo,1,35.0,400,3.9,10.52,0.0,0.0,1214.0
"1",CL,2009-02-09 00:00:00.000,PFI-034,"Pastilla freno izumi Ch.luv86,rodeo,trooper 00",1,35.0,50,3.14,8.48,0.0,0.0,120.0
"1",CL,2009-02-09 00:00:00.000,PFI-035,"Pastilla freno izumi spar/k03 ,matiz/00",1,35.0,100,3.65,9.85,0.0,0.0,67.0
"1",CL,2009-02-09 00:00:00.000,PFI-036,Pastilla freno izumi fiat uno,1,35.0,200,3.59,9.69,0.0,0.0,3.0
"1",CL,2009-02-09 00:00:00.000,PFI-037,Pastilla freno izumi Forza I,1,35.0,300,2.66,7.18,0.0,0.0,269.0
"1",CL,2009-02-09 00:00:00.000,PFI-038,Pastilla freno izumi vitara 5P,1,35.0,100,2.91,7.85,0.0,0.0,201.0
"1",CL,2009-02-09 00:00:00.000,PFI-039,Pastilla freno izumi forza II,1,35.0,300,3.3,8.92,0.0,0.0,600.0
"1",CL,2009-02-09 00:00:00.000,PFI-040,"Pastilla freno izumi matrix,kia cerato 1.6",1,35.0,30,4.55,12.29,0.0,0.0,212.0
