"mes","aaaa","Costo1","Venta1","Total1","Nommes","Descu1","Nommarca","Contro"
,,213.86000000000004,364.24,225.3178,,138.92219999999995,,"000"
,,225569.72999999917,410033.19999999966,252704.4778999997,,157328.72209999984,,"210"
,,27783.610000000004,52386.08000000005,32145.677100000026,,20240.40289999998,,"211"
,,32834.72999999993,61369.89,37677.29059999996,,23692.599399999977,,"212"
,,21.840000000000003,35.0,21.825000000000003,,13.175,,"3.7"
,,2313.6300000000006,3922.349999999998,2613.476699999999,,1308.8733000000004,,A-1
,,145492.74,297770.4900000002,181547.73789999826,,116222.75210000025,,APE
,,5518.509999999997,10323.48,6323.0597,,4000.420300000002,,ATP
,,70710.96,151956.25999999998,85576.06800000004,,66380.19200000014,,AV-
,,44542.31000000012,93273.7,57292.79210000006,,35980.9078999999,,BAI
,,16569.009999999984,32182.000000000047,21248.017500000038,,10933.982500000024,,BH-
,,46566.069999999905,109482.0,67675.94,,41806.059999999954,,CDI
,,73871.61000000007,143221.39999999982,95338.3979999999,,47883.00200000016,,CNC
,,21422.399999999987,37649.51000000002,23193.288500000006,,14456.221500000021,,CR-
,,5157.6399999999985,9668.049999999997,5958.362999999999,,3709.6870000000017,,DEI
,,63141.19,134764.50000000006,75803.16230000016,,58961.33770000002,,DW-
,,49355.37000000003,121663.60000000017,81087.87299999993,,40575.72699999993,,EVI
,,49516.77000000017,87017.79000000001,58289.33070000007,,28728.459299999962,,FTU
,,13819.430000000033,22108.250000000047,14734.657399999991,,7373.59260000001,,GRN
,,1177.7800000000002,2173.94,1344.5122999999999,,829.4277000000001,,GSP
,,474.99,889.77,547.6674,,342.10260000000005,,GUN
,,35.1,55.8,37.385999999999996,,18.414,,GZP
,,268382.90000000125,562269.6699999983,312435.07720000076,,249834.59279999914,,HY-
,,2629.499999999999,5653.619999999997,3496.852,,2156.7679999999996,,JCB
,,328.76,588.9000000000001,394.56300000000005,,194.33700000000002,,JCC
,,288368.25999999716,589396.7000000103,322790.5029999923,,266606.1970000002,,JHI
,,15878.719999999961,32299.600000000028,17573.345999999885,,14726.253999999984,,KGI
,,14974.349999999982,26885.690000000002,15169.212900000017,,11716.477099999998,,KI-
,,1093.86,1868.08,1152.1096000000002,,715.9703999999999,,LD-
,,7023.2599999999975,15613.920000000013,10373.448399999992,,5240.4716000000035,,MEI
,,11726.25,24074.099999999977,14825.742000000006,,9248.358,,MZ-
,,780.5699999999999,1173.8799999999999,766.1426,,407.73740000000004,,PEI
,,143277.78000000067,263382.4699999994,175262.1589999994,,88120.31099999974,,PFI
,,30302.499999999993,61082.73000000008,38071.050100000044,,23011.67989999994,,POR
,,14277.879999999992,29131.79999999999,17918.24300000001,,11213.556999999995,,RIZ
,,319.2399999999999,546.2400000000001,355.37239999999997,,190.86759999999998,,SK-
,,360531.1700000023,652600.5800000116,430521.6229000019,,222078.95710000017,,SKT
,,8752.979999999998,16118.57000000002,10698.837400000013,,5419.732599999998,,SR-
,,13889.580000000009,23803.489999999976,14691.754800000015,,9111.7352,,TKS
,,15907.119999999988,38076.64999999991,23475.67300000009,,14600.977000000003,,TRI
,,475.0,760.0,471.2,,288.8,,VTR
,,516.5999999999999,826.56,553.1392,,273.4208,,VW-
,,522.7799999999999,955.2699999999998,639.4803999999998,,315.78960000000006,,VWS
